"","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted","GOOGL.Date","Company.Name"
"1",50.050049,52.082081,48.028027,50.220219,44659096,50.220219,"2004-08-19","GOOGLE"
"2",50.555557,54.594597,50.300301,54.209209,22834343,54.209209,"2004-08-20","GOOGLE"
"3",55.430431,56.796799,54.579578,54.754753,18256126,54.754753,"2004-08-23","GOOGLE"
"4",55.675674,55.855858,51.836838,52.487488,15247337,52.487488,"2004-08-24","GOOGLE"
"5",52.532532,54.054054,51.991993,53.053055,9188602,53.053055,"2004-08-25","GOOGLE"
"6",52.527527,54.02903,52.382381,54.00901,7094898,54.00901,"2004-08-26","GOOGLE"
"7",54.104103,54.364365,52.8979,53.128128,6211782,53.128128,"2004-08-27","GOOGLE"
"8",52.692692,52.797798,51.056057,51.056057,5196798,51.056057,"2004-08-30","GOOGLE"
"9",51.201202,51.906906,51.13113,51.236237,4917877,51.236237,"2004-08-31","GOOGLE"
"10",51.401402,51.536537,49.884884,50.175175,9138253,50.175175,"2004-09-01","GOOGLE"
"11",49.644646,51.236237,49.51952,50.805805,15118666,50.805805,"2004-09-02","GOOGLE"
"12",50.525524,50.920921,49.709709,50.055054,5152442,50.055054,"2004-09-03","GOOGLE"
"13",50.555557,51.051052,49.854855,50.840839,5847547,50.840839,"2004-09-07","GOOGLE"
"14",50.420422,51.566566,50.300301,51.201202,4985609,51.201202,"2004-09-08","GOOGLE"
"15",51.316315,51.406406,50.550552,51.206207,4061734,51.206207,"2004-09-09","GOOGLE"
"16",50.850849,53.333332,50.700703,52.717716,8698892,52.717716,"2004-09-10","GOOGLE"
"17",53.368366,54.259258,53.283283,53.803802,7844148,53.803802,"2004-09-13","GOOGLE"
"18",53.778778,56.056057,53.448448,55.8008,10828960,55.8008,"2004-09-14","GOOGLE"
"19",55.335335,57.172173,55.155155,56.056057,10713076,56.056057,"2004-09-15","GOOGLE"
"20",56.226227,57.957958,55.880882,57.042042,9266324,57.042042,"2004-09-16","GOOGLE"
"21",57.267265,58.803802,56.831833,58.803802,9472518,58.803802,"2004-09-17","GOOGLE"
"22",58.533535,60.860863,58.443443,59.739738,10628761,59.739738,"2004-09-20","GOOGLE"
"23",59.964966,60.270271,58.813812,58.978977,7228764,58.978977,"2004-09-21","GOOGLE"
"24",58.758759,59.894894,58.463463,59.249249,7581211,59.249249,"2004-09-22","GOOGLE"
"25",59.479481,61.376377,58.568569,60.47047,8535656,60.47047,"2004-09-23","GOOGLE"
"26",60.530533,62.11211,59.939941,59.974976,9123467,59.974976,"2004-09-24","GOOGLE"
"27",59.83984,60.5005,58.958958,59.18919,7066127,59.18919,"2004-09-27","GOOGLE"
"28",60.710712,63.763763,60.165165,63.493492,16929054,63.493492,"2004-09-28","GOOGLE"
"29",63.413414,67.577576,63.178177,65.605606,30516453,65.605606,"2004-09-29","GOOGLE"
"30",65.015015,66.216217,64.564568,64.864868,13758028,64.864868,"2004-09-30","GOOGLE"
"31",65.465462,67.187187,64.514519,66.356354,15124860,66.356354,"2004-10-01","GOOGLE"
"32",67.692696,68.503502,67.082085,67.597595,13022764,67.597595,"2004-10-04","GOOGLE"
"33",67.3974,69.334335,66.186188,69.254257,14973212,69.254257,"2004-10-05","GOOGLE"
"34",68.843842,69.294296,68.068069,68.608612,13381405,68.608612,"2004-10-06","GOOGLE"
"35",68.528526,70.01001,68.343346,69.494492,14115071,69.494492,"2004-10-07","GOOGLE"
"36",69.429428,69.909912,68.578583,68.933937,11069519,68.933937,"2004-10-08","GOOGLE"
"37",68.568565,69.499496,66.991989,67.697701,10472117,67.697701,"2004-10-11","GOOGLE"
"38",67.287285,68.873871,66.766769,68.768768,11665523,68.768768,"2004-10-12","GOOGLE"
"39",71.731735,71.846848,70.110107,70.520523,19766214,70.520523,"2004-10-13","GOOGLE"
"40",70.575577,71.261261,69.34935,71.071068,10442147,71.071068,"2004-10-14","GOOGLE"
"41",72.537537,72.822823,71.046043,72.127129,13194792,72.127129,"2004-10-15","GOOGLE"
"42",71.671669,74.674675,70.675674,74.654655,14036350,74.654655,"2004-10-18","GOOGLE"
"43",75.325325,76.276276,73.748749,74.044044,18109872,74.044044,"2004-10-19","GOOGLE"
"44",74.089088,74.569572,69.869873,70.315315,22722655,70.315315,"2004-10-20","GOOGLE"
"45",72.27227,75.140137,70.880882,74.764763,29149821,74.764763,"2004-10-21","GOOGLE"
"46",85.355354,90.175179,82.122124,86.3013,73710016,86.3013,"2004-10-22","GOOGLE"
"47",88.288284,97.312309,86.361359,93.793793,65462872,93.793793,"2004-10-25","GOOGLE"
"48",93.26326,96.416412,90.090088,90.99099,44569586,90.99099,"2004-10-26","GOOGLE"
"49",91.451454,94.854858,90.975975,93.078079,26686287,93.078079,"2004-10-27","GOOGLE"
"50",93.433434,97.29229,92.892891,96.74675,29663906,96.74675,"2004-10-28","GOOGLE"
"51",99.544548,100.075073,95.395393,95.415413,42282675,95.415413,"2004-10-29","GOOGLE"
"52",96.871872,98.933937,95.730728,98.113113,24425350,98.113113,"2004-11-01","GOOGLE"
"53",99.489487,99.724724,96.766769,97.532532,22669907,97.532532,"2004-11-02","GOOGLE"
"54",99.189186,100.900902,95.470467,95.930931,27749623,95.930931,"2004-11-03","GOOGLE"
"55",94.314316,95.295296,91.766769,92.442444,28790381,92.442444,"2004-11-04","GOOGLE"
"56",91.081078,91.241241,84.35936,84.759758,39626534,84.759758,"2004-11-05","GOOGLE"
"57",85.550552,87.807808,84.784782,86.361359,22361216,86.361359,"2004-11-08","GOOGLE"
"58",87.137138,87.687691,82.71772,84.434433,22106272,84.434433,"2004-11-09","GOOGLE"
"59",85.420418,86.346344,83.248245,84.014015,21266712,84.014015,"2004-11-10","GOOGLE"
"60",84.649651,91.966965,83.868866,91.601601,29941029,91.601601,"2004-11-11","GOOGLE"
"61",92.70771,94.994995,88.788788,91.091087,33458708,91.091087,"2004-11-12","GOOGLE"
"62",90.315315,94.254257,89.464462,92.527527,23779197,92.527527,"2004-11-15","GOOGLE"
"63",88.838837,89.824821,85.500504,86.356354,41792965,86.356354,"2004-11-16","GOOGLE"
"64",84.594597,88.838837,84.584587,86.336334,36229534,86.336334,"2004-11-17","GOOGLE"
"65",85.230232,87.297295,82.947945,83.853851,33225941,83.853851,"2004-11-18","GOOGLE"
"66",84.634636,85.075073,83.343346,84.784782,17521061,84.784782,"2004-11-19","GOOGLE"
"67",82.317314,84.834831,80.735733,82.632629,24711664,82.632629,"2004-11-22","GOOGLE"
"68",84.069069,85.500504,83.333336,83.843842,24801773,83.843842,"2004-11-23","GOOGLE"
"69",87.497498,88.693695,86.341339,87.467468,30531438,87.467468,"2004-11-24","GOOGLE"
"70",87.987991,90.105103,87.747749,89.784782,12947240,89.784782,"2004-11-26","GOOGLE"
"71",90.270271,91.566566,88.843842,90.615616,21311867,90.615616,"2004-11-29","GOOGLE"
"72",90.445442,91.591591,90.215218,91.081078,15384600,91.081078,"2004-11-30","GOOGLE"
"73",91.066063,91.341339,89.864868,90.070068,15712472,90.070068,"2004-12-01","GOOGLE"
"74",90.040039,90.845848,89.364365,89.789787,12509278,89.789787,"2004-12-02","GOOGLE"
"75",90.065063,90.620621,88.888885,90.290291,11726662,90.290291,"2004-12-03","GOOGLE"
"76",89.654655,90.440437,88.098099,88.233231,12495492,88.233231,"2004-12-06","GOOGLE"
"77",88.088089,88.188187,85.360359,85.800804,13728058,85.800804,"2004-12-07","GOOGLE"
"78",85.260262,86.926926,84.449448,85.075073,15068516,85.075073,"2004-12-08","GOOGLE"
"79",85.210213,86.836838,84.319321,86.801804,15292692,86.801804,"2004-12-09","GOOGLE"
"80",86.801804,87.527527,85.730728,85.910912,8625766,85.910912,"2004-12-10","GOOGLE"
"81",86.171173,86.676674,84.809807,85.31031,9627563,85.31031,"2004-12-13","GOOGLE"
